Year,Mo,Dy,Hr,Mn,Tsu,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,Deaths,Missing,Injuries,Damage ($Mil),Houses Destroyed,Houses Damaged
1868,8,14,1,30,1,CHILE,CHILE:  ARICA,-18.6,-71.0,43,8.5,0,0,854,1952.0,5309,75712
1868,9,14,12,28,1,CHILE,CHILE:  CENTRAL,-36.7,-73.2,43,7.2,0,0,854,1952.0,5309,75712
1868,10,16,12,28,1,CHILE,CHILE:  CENTRAL,-33.1,-71.7,43,7.2,0,0,854,1952.0,5309,75712
1869,1,27,12,28,1,CHILE,"CHILE:  SANTIAGO, VALPARAISO",-36.6,-73.0,43,7.2,0,0,854,1952.0,5309,75712
1869,2,6,12,28,1,CHILE,"CHILE: VALDIVIA, CORRAl",-39.9,-73.4,43,7.2,0,0,854,1952.0,5309,75712
1869,6,25,12,28,1,CHILE,"CHILE:  IQUIQUE, PISAGUA",-19.6,-70.2,43,7.2,0,0,854,1952.0,5309,75712
1869,8,9,12,28,1,CHILE,CHILE:  COQUIMBO,-30.0,-71.4,43,7.2,0,0,854,1952.0,5309,75712
1869,8,21,16,40,1,CHILE,CHILE:  IQUIQUE,-21.0,-70.0,43,6.8,0,0,854,1952.0,5309,75712
1869,8,24,17,10,1,CHILE,"CHILE:  IQUIQUE, PICA; PERU:  TACNA",-19.6,-70.23,30,7.5,0,0,854,1952.0,5309,75712
1870,4,22,13,20,0,CHILE,CHILE,-22.5,-68.9,43,7.2,0,0,854,1952.0,5309,75712
1871,3,25,12,28,1,CHILE,CHILE:  CENTRAL,-35.0,-72.5,43,7.5,0,0,854,1952.0,5309,75712
1871,8,20,12,28,1,CHILE,CHILE:  VALPARAISO,-33.1,-71.7,43,7.2,0,0,854,1952.0,5309,75712
1871,10,5,9,28,1,CHILE,CHILE,-20.2,-70.2,43,7.3,0,0,854,1952.0,101,75712
1871,12,28,12,28,1,CHILE,CHILE:  PUERTO MONTT,-41.5,-73.0,43,7.2,0,0,854,1952.0,5309,75712
1873,7,7,6,26,1,CHILE,"CHILE:  LIGUA, QUILLOLTA",-32.3,-71.16,43,7.2,0,0,854,1952.0,5309,75712
1873,11,19,12,28,1,CHILE,CHILE:  ANTOFAGASTA,-23.6,-70.4,43,7.2,0,0,854,1952.0,5309,75712
1877,5,10,0,59,1,CHILE,CHILE:  OFF NORTH COAST,-21.5,-70.5,40,8.3,103,0,854,1.6,5309,75712
1877,5,15,12,28,1,CHILE,CHILE:  NORTHERN:  HUANILLOS,-21.2,-70.1,43,7.2,0,0,854,1952.0,5309,75712
1877,6,15,12,28,1,CHILE,CHILE:  NORTHERN,-19.6,-70.2,43,7.2,0,0,854,1952.0,5309,75712
1877,8,23,12,28,1,CHILE,CHILE:  IQUIQUE,-20.2,-70.1,43,7.2,0,0,854,1952.0,5309,75712
1877,10,9,12,28,1,CHILE,CHILE,-24.0,-71.0,43,7.2,0,0,854,1952.0,5309,75712
1878,1,23,12,5,1,CHILE,CHILE:  TARAPACA,-19.92,-70.335,40,7.9,0,0,854,1952.0,5309,75712
1878,2,14,12,28,1,CHILE,CHILE:  CENTRAL,-36.8,-73.0,43,7.2,0,0,854,1952.0,5309,75712
1878,3,12,12,28,1,CHILE,CHILE:  NORTHERN,-20.2,-70.1,43,7.2,0,0,854,1952.0,5309,75712
1878,4,12,12,28,1,CHILE,CHILE:  NORTHERN,-20.2,-70.1,43,7.2,0,0,854,1952.0,5309,75712
1878,6,12,12,28,1,CHILE,CHILE:  NORTHERN,-23.7,-70.4,43,7.2,0,0,854,1952.0,5309,75712
1880,8,15,12,48,1,CHILE,CHILE:  ILLAPEL,-31.62,-71.18,43,7.7,2,0,854,1952.0,600,75712
1881,7,14,12,28,1,CHILE,CHILE:  NORTHERN,-20.2,-70.1,43,7.2,0,0,854,1952.0,5309,75712
1881,10,27,12,28,1,CHILE,CHILE:  NORTHERN,-19.6,-70.2,43,7.2,0,0,854,1952.0,5309,75712
1882,2,23,12,28,1,CHILE,CHILE:  NORTHERN,-33.58,-71.63,43,7.2,0,0,854,1952.0,5309,75712
1882,9,14,12,28,1,CHILE,CHILE:  PISAGUA,-19.6,-70.2,43,7.2,0,0,854,1952.0,5309,75712
1885,11,12,12,28,1,CHILE,CHILE:  IQUIQUE,-20.2,-70.1,43,7.2,0,0,854,1952.0,5309,75712
1892,3,27,12,28,1,CHILE,CHILE:  ARICA,-18.5,-70.35,43,7.2,0,0,854,1952.0,5309,75712
1895,5,31,12,28,1,CHILE,CHILE:  NORTHERN,-18.0,-71.0,43,7.2,0,0,854,1952.0,5309,75712
1896,3,13,12,28,0,CHILE,"CHILE:  LIMACHE, ALMENDRAL",-33.0,-71.0,43,7.2,0,0,854,1952.0,5309,75712
1898,7,23,2,17,1,CHILE,CHILE:  CONCEPCION,-36.83,-73.03,43,6.5,6,0,854,1952.0,5309,75712
1903,9,26,12,28,1,CHILE,CHILE:  IQUIQUE,-20.2,-70.15,43,7.2,0,0,854,1952.0,5309,75712
1903,12,7,14,25,1,CHILE,"CHILE:  VALLENAR, FREIRINA",-28.5,-71.0,43,6.5,0,0,854,1952.0,5309,75712
1906,5,7,12,28,1,CHILE,CHILE:  ARICA; PERU: TACNA,-18.5,-70.3,33,7.2,0,0,854,1952.0,5309,75712
1906,8,17,0,40,1,CHILE,CHILE:  SOUTH CENTRAL,-33.0,-72.0,25,8.2,4000,0,854,100.0,5309,75712
1909,6,8,5,46,1,CHILE,CHILE,-26.5,-70.5,43,7.6,0,0,854,1952.0,5309,75712
1911,9,15,13,10,1,CHILE,CHILE:  NORTHERN,-20.0,-72.0,43,7.3,0,0,854,1952.0,5309,75712
1914,1,30,3,35,0,CHILE,CHILE:  OFF CENTRAL COAST,-35.0,-73.0,33,7.6,0,0,854,1952.0,5309,75712
1918,5,20,17,55,1,CHILE,CHILE:  NORTHERN,-28.5,-71.5,80,7.9,0,0,854,1952.0,5309,75712
1918,12,4,11,47,1,CHILE,CHILE:  COPIAPO,-26.0,-71.0,43,7.8,0,0,854,1952.0,5309,75712
1920,8,20,16,15,1,CHILE,CHILE:  OFF COAST CENTRAL,-38.0,-73.5,15,7.0,0,0,854,1952.0,5309,75712
1922,11,7,23,0,1,CHILE,CHILE:  NORTHERN,-28.0,-72.0,33,7.2,0,0,854,1952.0,5309,75712
1922,11,11,4,32,1,CHILE,CHILE:  ATACAMA,-28.293,-69.852,70,8.5,500,0,854,1952.0,5309,75712
1923,5,4,22,26,1,CHILE,CHILE:  VALLENAR,-28.75,-71.75,60,7.0,0,0,854,1952.0,5309,75712
1923,8,12,12,11,1,CHILE,CHILE:  NORTHERN,-18.5,-70.3,33,7.2,0,0,854,1952.0,5309,75712
1925,5,15,11,56,1,CHILE,CHILE:  NORTHERN,-26.0,-71.5,50,7.1,0,0,854,1952.0,5309,75712
1926,12,9,22,38,1,CHILE,CHILE:  VALLENAR,-28.0,-71.0,33,6.0,0,0,854,1952.0,5309,75712
1927,11,21,23,12,1,CHILE,CHILE:  SOUTHERN,-44.6,-73.0,33,7.1,0,0,854,1952.0,5309,75712
1928,11,20,20,35,1,CHILE,CHILE:  NORTHERN,-22.5,-70.5,33,7.1,0,0,854,1952.0,5309,75712
1928,12,1,4,6,1,CHILE,"CHILE:  TALCA, CHILLAN, SANTIAGO, SAN FERNANDO",-35.0,-72.0,25,7.6,279,0,854,1952.0,5309,75712
1929,10,19,10,12,0,CHILE,CHILE,-23.0,-69.0,100,7.5,0,0,854,1952.0,5309,75712
1930,12,29,8,26,1,CHILE,CHILE:  NORTHERN,-28.5,-71.0,43,6.0,0,0,854,1952.0,5309,75712
1931,3,18,8,2,1,CHILE,CHILE:  CENTRAL,-32.5,-72.0,33,7.1,0,0,854,1952.0,5309,75712
1933,2,23,8,9,1,CHILE,CHILE,-20.0,-71.0,40,7.6,0,0,854,1952.0,5309,75712
1933,11,3,4,14,0,CHILE,CHILE,-22.0,-70.5,70,5.5,0,0,854,1952.0,5309,75712
1934,12,4,17,24,1,CHILE,"CHILE:  IQUIQUE, PISAGUA, SAPIGA, NEGRERO",-19.5,-69.5,130,6.9,0,0,854,1952.0,5309,75712
1936,7,13,11,12,1,CHILE,CHILE:  TALTAL,-24.5,-70.0,60,7.3,1,0,40,1952.0,5309,75712
1939,1,25,3,32,1,CHILE,CHILE:  CHILLAN,-36.25,-72.25,60,8.3,30000,0,854,920.0,5309,75712
1939,4,18,6,22,1,CHILE,CHILE:  NORTH CENTRAL,-27.0,-70.5,100,7.4,0,0,854,1952.0,5309,75712
1940,10,4,7,54,1,CHILE,CHILE:  NORTHERN,-22.0,-71.0,75,7.3,0,0,854,1952.0,5309,75712
1940,10,11,18,41,1,CHILE,CHILE:  SOUTH CENTRAL,-41.5,-74.5,33,7.0,0,0,854,1952.0,5309,75712
1943,4,6,16,7,1,CHILE,CHILE:  ILLAPEL,-30.75,-72.0,35,8.2,11,0,854,1952.0,5309,75712
1946,8,2,19,18,1,CHILE,CHILE:  NORTHERN,-26.5,-70.5,60,7.9,2,0,854,1952.0,5309,75712
