year,hour,focal_depth,eq_primary,eq_mag_mw,eq_mag_ms,eq_mag_mb,eq_mag_ml,eq_mag_mfa,eq_mag_unk,intensity,country,state,location_name,latitude,longitude,total_deaths,total_damage_millions_dollars
1580,,33,6.2,,,,6.2,,,,UK,,UNITED KINGDOM:  DOVER STRAITS,51.019,1.309,,
1755,9,,7,,,,7,,,8,USA,MA,MASSACHUSETTS:  EAST OF CAPE ANN,42.7,-70.3,,
1788,,,8,,8,,,,,,USA,AK,ALASKA PENINSULA,55,-161,,
1811,13,,7,7,8,,,7,,10,USA,AR,ARKANSAS: NORTHEAST (NEW MADRID EARTHQUAKES),35.6,-90.4,,
1812,15,,7.3,7.3,8.4,,,7.1,,10,USA,MO,MISSOURI:  NEW MADRID,36.3,-89.6,,
1840,,,5.2,,,,5.2,,,,USA,PA,PENNSYLVANIA:  PHILADELPHIA,39.8,-75.2,,
1857,10,,8.3,,,,,,8.3,7,USA,CA,CALIFORNIA:  SAN FRANCISCO,35,-119,,
1862,,,5.9,,,,5.9,,,7,USA,CA,CALIFORNIA:  SAN DIEGO,32.7,-117.2,,
1880,22,,7,,7,,,,,,USA,AK,ALASKA:  SOUTHEASTERN,57,-136,,
1884,19,,5.5,,,,,5.5,,7,USA,NY,"NEW YORK: ROCKAWAY BEACH, NEAR NEW YORK CITY",40.6,-73.75,,
1895,11,,4.3,,,,,4.3,,6,USA,NY,NEW JERSEY: HIGH BRIDGE,40.667,-74.883,,
1898,18,,7.6,,,,,,7.6,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  NEAR ISLANDS,52,172,,
1899,17,25,7.8,,7.8,,,,,7,USA,AK,ALASKA:  CAPE YAKATAGA,60,-140,,
1899,12,,6.4,,6.4,,6.6,,,9,USA,CA,CALIFORNIA,33.5,-117,,
1901,9,,7.8,,7.8,,,,7.8,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,51.45,-171.02,,
1902,5,,7.8,,,,,,7.8,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,52.4,-167.5,,
1903,13,,8.3,,8.3,,,,,,USA,AK,ALASKA:  SOUTHWEST,61.56,-158.54,,
1904,21,,8.3,,8.3,7.8,,,,6,USA,AK,ALASKA:  RAMPART,64.66,-148.08,,
1905,8,,7.9,,7.9,7.5,,,,,USA,AK,ALASKA:  ANDREANOF ISLANDS,50.73,-178.55,,
1906,13,20,7.9,7.9,7.8,,,,8.3,11,USA,CA,CALIFORNIA:  SAN FRANCISCO,37.67,-122.48,,
1906,0,25,7.8,,7.8,,,,8.3,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,51.05,179.69,,
1906,17,,7.6,,,,,,7.6,,USA,AK,ALASKA:  ALEUTIAN ISLANDS,56.85,-153.9,,
1907,16,,7.8,,7.8,7.3,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS,52.59,-169.73,,
1907,12,,5.5,,5.5,,,,,5,USA,AK,ALASKA:  SKAGWAY,59.5,-135.5,,
1908,11,,6,,6,,,,,,USA,AK,ALASKA:  GULF OF ALASKA,61,-146.2,,
1908,6,33,6.8,,6.8,,,,,,USA,HI,HAWAII,19,-155,,
1909,19,,7.8,,7.8,,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS,52,175,,
1912,7,90,7.5,,,,,,7.5,5,USA,AK,ALASKA:  ALASKA PENINSULA,57.5,-155,,
1915,4,,6.2,,,,,,6.2,,USA,CA,CALIFORNIA:  EL CENTRO,32.8,-115.5,,
1916,21,60,7.7,,,,,,7.7,,USA,AK,ALASKA:  ALEUTIAN ISLANDS,48.5,178.5,,
1916,4,170,7.5,,,,,,7.5,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,53.3,-170,,
1917,8,,7.9,,7.9,,,,,5,USA,AK,ALASKA:  ALASKA PENINSULA,54.79,-169.12,,
1918,22,,6.8,,,,,,6.8,,USA,CA,CALIFORNIA,33.7,-117,,
1922,13,,7.6,,,,,,7.6,,USA,CA,CALIFORNIA:  NORTHERN,41,-125.5,,
1925,23,,6.8,,6.8,,,,,,USA,AK,ALASKA:  GULF OF ALASKA,60,-146,,
1927,15,0,7.1,,7.1,7.1,,,,7,USA,AK,ALASKA:  SE ALASKA,57.69,-136.07,,
1929,1,50,7.8,7.8,7.5,7.9,,,8.6,5,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,51,-170,,
1929,10,25,7.8,,,,,,7.8,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  NEAR ISLANDS,52.5,171.5,,
1932,,,7.2,,,,,,7.2,12,USA,NV,NEVADA:  CEDAR MOUNTAIN,38.7,-117.8,,
1934,,,7.1,,,,,,7.1,10,USA,CA,"CALIFORNIA:  BAJA,IMPERIAL VALLEY",31.8,-115.5,,
1938,20,25,8.2,8.2,8.3,8.2,,,,6,USA,AK,ALASKA,55.48,-158.37,,
1940,5,65,7.4,,,7.4,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,52,178.2,,
1947,15,,6.4,,,,,,6.4,,USA,CA,CALIFORNIA,35,-116.6,,
1948,22,25,7.5,,,,,,7.5,,USA,AK,ALASKA:  ALASKA PENINSULA,54.5,-161,,
1951,10,60,6.9,,,,,,6.9,,USA,HI,HAWAII,19.7,-156,,
1954,,,6.8,,,,,,6.8,12,USA,NV,NEVADA:  STILLWATER RANGE,39.6,-118.5,,
1954,11,,7,,,,,,7,10,USA,NV,NEVADA:  DIXIE VALLEY,39.3,-118.2,,
1957,14,,7.5,,,,,,7.5,5,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,55,-165.2,,
1962,8,33,6.5,,,,,,6.5,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,52.47,-168.54,,
1965,2,20,7.6,7.6,7.4,,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,50.32,177.93,,
1971,6,43,7.1,,7.1,6,,,,6,USA,AK,ALASKA:  ANDREANOF ISLANDS,51.4,-177.2,,
1971,22,2,5.7,,5.7,6.8,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,51.5,179.1,,
1973,14,8,5.7,,5.7,5.7,5.9,,,7,USA,CA,CALIFORNIA:  OXNARD,34.1,-119,,
1975,8,10,7.6,,7.6,6.1,,,,9,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  NEAR ISLANDS,53.11,173.5,,
1978,22,7,5.6,,5.6,5.5,5.7,,5.6,7,USA,CA,CALIFORNIA:  SOUTHERN,34.35,-119.7,,
1979,23,10,6.9,,6.9,5.7,6.4,,,9,USA,CA,CALIFORNIA:  IMPERIAL VALLEY; MEXICO: MEXICALI,32.634,-115.324,,
1986,16,26,6.4,6.4,6.6,5.8,,,,,USA,AK,ALASKA:  ANDREANOF ISLANDS,52.327,-174.504,,
1987,8,10,7.2,7.2,6.9,6.6,,,,,USA,AK,ALASKA:  GULF OF ALASKA,58.586,-143.27,,
1989,13,11,6.9,,6.9,6.5,6.9,,,,USA,AK,ALASKA,55.543,-156.835,,
1996,4,33,7.9,7.9,7.6,6.6,,,,6,USA,AK,ALASKA:  ANDREANOF ISLANDS,51.564,-177.632,,
1996,15,24,7.3,7.3,7.1,5.9,,,,,USA,AK,ALASKA:  ANDREANOF ISLANDS,51.478,-176.847,,
2003,6,33,7.8,7.8,7.2,6.2,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,51.146,178.65,,
2005,2,10,7.2,7.2,7.1,6.2,,,,4,USA,CA,CALIFORNIA:  OFF COAST NORTHERN,41.301,-125.97,,
2007,3,21,6.7,6.7,6.6,6.3,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS,51.307,-179.971,,
2007,8,2,4.2,,,4.2,3.9,,,,USA,UT,UTAH:  HUNTINGTON,39.465,-111.237,9,
2007,0,0,1.6,,,,1.6,,,,USA,UT,UTAH,39.464,-111.207,3,
2011,3,52,7.3,7.3,,6.9,6.7,,,,USA,AK,ALASKA: ALEUTIAN ISLANDS: FOX ISLANDS,52.05,-171.836,,
2011,10,32,6.8,6.8,6.9,6.5,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,52.171,-171.708,,
2014,20,109,7.9,7.9,,,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS,51.849,178.735,,
2014,10,10,6.1,6.1,,,,,,4,USA,AK,ALASKA:  SOUTHEASTERN,58.306,-136.96,,
2015,4,23,6.9,6.9,,,,,,,USA,AK,ALASKA,52.214,-169.399,,
2020,20,33,7.6,7.6,,,,,,8,USA,AK,ALASKA,54.608,-159.655,,
2021,6,32,8.2,8.2,,,,,,8,USA,AK,ALASKA PENINSULA,55.325,-157.841,,
1766,4,25,6.8,,6.8,,,,,,CUBA,,CUBA:  SANTIAGO DE CUBA,19.9,-76.1,,
1932,6,,5.4,,,,,,5.4,,CUBA,,CUBA: SANTIAGO DE CUBA,20,-75.8,,
1939,3,,5.6,,,5.6,,,,8,CUBA,,CUBA: SANTA CLARA,22.2,-79.1,,
1909,9,550,7.8,,7.8,,,,,,FIJI,,FIJI ISLANDS,-18,-179,,
1919,2,180,8.3,,8.3,,,,,,FIJI,,FIJI ISLANDS,-19.5,-176.5,,
1932,18,,6.2,,,,,,6.2,7,FIJI,,"FIJI ISLANDS:  KORO,MUDU,SUVASAVU",-17.5,179.6,,
1937,3,400,8.1,,8.1,,,,,,FIJI,,FIJI ISLANDS,-21.5,-177,,
1956,20,430,7.5,,,,,,7.5,,FIJI,,FIJI ISLANDS,-15,-179,,
1957,14,549,7.5,,,,,,7.5,,FIJI,,FIJI ISLANDS,-20.4,-178.5,,
1975,21,33,4.9,,,4.9,,,,,FIJI,,FIJI ISLANDS,-18.672,178.464,,
1990,12,33,7.6,7.6,7.4,6.3,,,,,FIJI,,FIJI ISLANDS,-22.122,175.163,,
1994,23,563,7.6,7.6,,6.6,,,,,FIJI,,FIJI ISLANDS,-18.039,-178.413,,
2002,11,580,7.7,7.7,,6.7,,,,,FIJI,,FIJI ISLANDS,-21.696,-179.513,,
2002,11,675,7.7,7.7,,7,,,,,FIJI,,FIJI ISLANDS,-23.884,178.495,,
2017,21,12,6.9,6.9,,,,,,6,FIJI,,FIJI ISLANDS,-19.373,176.052,,
2018,0,563,8.2,8.2,,,,,,,FIJI,,FIJI ISLANDS,-18.178,-178.111,,
2018,15,609,7.8,7.8,,,,,,,FIJI,,FIJI ISLANDS,-18.494,179.332,,
763,,,7.6,,7.6,,,,,,IRAN,,IRAN:  KHURASAN,33.3,59.3,,
891,,20,6.3,,,,,,6.3,9,IRAN,,IRAN:  ARDABIL,38.3,48.3,,
1101,,10,6.5,,,,,,6.5,10,IRAN,,IRAN:  KHORASAN,36,59,60000,
1119,,,6.5,,,,,,6.5,,IRAN,,IRAN:  QAZVIN,36.2,50,,
1208,,,6.5,,,,,,6.5,,IRAN,,"IRAN:  NEYSHABUR (NEISHABUR),FIRRIM",36.3,57.6,,
1209,,10,7.6,,,,,,7.6,9,IRAN,,IRAN:  NISHAPUR,36,58.8,,
1267,,10,5.8,,,,,,5.8,9,IRAN,,IRAN:  NEYSHABUR (NEISHABUR),36,58.8,,
1281,,10,5.8,,,,,,5.8,9,IRAN,,IRAN:  SHADIYAKH,36.1,58.8,,
1300,,,6.5,,,,,,6.5,,IRAN,,"IRAN:  NEYSHABUR (NEISHABUR),FIRRIM",36.8,56,,
1336,1,,7.6,,,,,,7.6,,IRAN,,IRAN:  KHAF,34.7,59.7,,
1389,,10,5.8,,,,,,5.8,9,IRAN,,IRAN:  NEYSHABUR,36.2,58.5,,
1389,,,7.6,,,,,,7.6,,IRAN,,IRAN:  NEYSHABUR (NISHAPUR),36.2,58.8,,
1405,,15,6.7,,,,,,6.7,9,IRAN,,IRAN:  NEYSHABUR (NISHAPUR),36,58.8,,
1440,,,6.5,,,,,,6.5,,IRAN,,IRAN:  KARZIN,28.3,53.1,,
1482,,,6.5,,,,,,6.5,,IRAN,,"IRAN:  HORMOZ,OMAN",26.1,56.9,,
1483,,,7.7,,7.7,,,,,,IRAN,,IRAN:  OFF COAST,24.9,57.9,,
1485,,,6.5,,,,,,6.5,8,IRAN,,IRAN:  ALAMUT-JENAT RUDBAR-DAILAMAN,36.9,49.9,,
1493,,,6.5,,,,,,6.5,,IRAN,,IRAN:  NOWZAD-MASK,33,59.8,,
1640,,15,5.1,,,,,,5.1,7,IRAN,,IRAN:  TABRIZ,38.2,46.3,,
1779,,,6.5,,,,,,6.5,7,IRAN,,IRAN:  TABRIZ,38,46.7,,
1800,,,6.5,,,,,,6.5,,IRAN,,IRAN:  DAMAVAND,36.2,53.3,,
1830,,,6.5,,,,,,6.5,,IRAN,,"IRAN:  CHAHARDANGEH,SEMNAN,DAMGHAN",36.4,54.3,,
1852,,10,5.8,,,,,,5.8,9,IRAN,,IRAN:  KHABUSHAN (NW KUCHAN),37.1,58.4,,
1871,,15,5.6,,,,,,5.6,7,IRAN,,IRAN:  QUCHAN,37.3,58.3,,
1872,,15,6.3,,,,,,6.3,7,IRAN,,IRAN:  QUCHAN,37.3,58.3,,
1879,,15,6.7,,,,,,6.7,9,IRAN,,IRAN:  BOJNURD,37.5,57.4,,
1898,3,5,4.3,,,,,,4.3,8,IRAN,,IRAN:  GORGAN (ASTRABAD); TURKMENISTAN,36.5,54.9,,
1913,10,,5.8,,5.8,,,,,,IRAN,,IRAN:  TEYHAN,26.8,53.7,11,
1923,,10,5.5,,,,,,5.5,8,IRAN,,IRAN:  BODZHNURD,37.6,57.3,,
1925,,,5.5,,,,,,5.5,,IRAN,,IRAN:  BAJESTAN,34.6,58.1,,
1925,5,,5.5,,,,,,5.5,,IRAN,,"IRAN:  AHRAM,DOMRUBAH,MAHMUDABADI,AB GARM",28.5,51.2,,
1928,18,,5,,,,,,5,,IRAN,,IRAN:  NEHBANDAN,31.6,60,,
1928,19,15,5.6,5.6,5.2,,,,5.4,8,IRAN,,IRAN:  SHIRVAN,36.893,59.044,30,
1929,7,65,6.2,,,,,,6.2,,IRAN,,"IRAN:  MASJED SOLEYMAN,ANDARKAH",32.2,49.7,,
1930,,,5,,,,,,5,,IRAN,,"IRAN:  AH,MOBARAKABAD,AB ALI,SARPURAK",35.8,52.1,,
1932,19,12,5.4,,,,,,5.4,8,IRAN,,IRAN:  TORBET-I-KHEYDARLY,36.6,53.4,,
1933,11,27,6.3,,,,,,6.3,,IRAN,,"IRAN:  BAHABAD,ALIABAD,RAHIMABAD,KHAIRABAD",32.1,56,,
1947,15,9,4.1,,,,,,4.1,7,IRAN,,IRAN:  SHIRVAN,37.5,57.8,,
1949,4,100,6.3,,6.3,6.1,,,,,IRAN,,"IRAN:  MAKHL-E-NAKHODA,BANDAR ABBAS,BAZAAR",27.28,56.46,,
1954,15,,5,,,,,,5,,IRAN,,"IRAN:  TONBAK,KANGAN,SABAKHI,AKHTAR",27.5,52,1,
1962,0,40,5.5,,,,,,5.5,,IRAN,,"IRAN:  GAHKOM,GOLRUIYEH,PATKUIYEH,LAIGAZAN,GANJ",28.1,55.6,,
1965,0,40,6,,,,,,6,,IRAN,,"IRAN:  HADJIABAD, SARKHUN, SARCHAHAN",28.1,55.9,,
1968,9,32,5.3,,,,,,5.3,,IRAN,,"IRAN:  GHALEGH SEYED,KHESHT,KONAR TAKHTEH",29.8,51.2,,
1968,23,15,5.4,,,,,,5.4,,IRAN,,IRAN,33.9,58.2,,
1972,12,31,5.3,,5.3,5.4,,,5.4,,IRAN,,"IRAN:  MISHAN-E-MARKAZI,TALKHAB,MISHAN SOFLA",30.1,50.8,,
1973,0,27,5.2,,,5.2,,,5.2,,IRAN,,"IRAN:  KHABIS,HENGAM ISLAND",28.58,52.62,,
1974,9,36,5.4,,,5.4,,,,,IRAN,,"IRAN:  SARCHAHAN,SAADATABAD,GAHKOM,SIRUIYEH",28,55.8,,
1988,2,33,5.7,,5.7,5.4,,,,,IRAN,,"IRAN:  DEH DASHT, BAHBAHAN",30.89,50.194,,
1989,9,33,5.1,,,5.1,,,,,IRAN,,"IRAN:  SW, SHIRAZ, MAMASANI",29.964,51.655,,
1989,2,42,4.7,,4.7,5.2,,,,,IRAN,,IRAN:  DEH BORZORG-E SISAKHT,30.96,51.421,,
1993,10,33,5.1,,,5.1,,,,,IRAN,,IRAN:  NEHBANDAN,32.104,60.088,,
1993,22,30,5.1,5.1,4.8,5.1,,,,,IRAN,,IRAN:  BOVIR AHMADI VA KOHKILUYEH,30.692,50.886,,
1993,16,33,5.4,5.4,4.8,5.5,,,,,IRAN,,IRAN:  BOVIR AHMADI VA KOHKILUYEH,30.149,50.814,24,
1998,13,33,5.4,5.4,5.1,5.3,,,,,IRAN,,IRAN:  SOUTHERN:  BIGHERD-KHONJ,27.791,53.608,5,
2004,21,35,5.6,5.6,5.4,5.6,,,,,IRAN,,IRAN:  GOLESTAN,37.125,54.477,,
2005,18,32,5.4,5.4,5.1,5.3,,,,,IRAN,,IRAN:  GORGAN,37.103,54.574,,
2007,4,10,5,,,5,4.5,,,,IRAN,,"IRAN:  HADJI ABAD, ORZUIYEH",28.154,56.652,,
2017,19,10,4.9,,,4.9,,,,6,IRAN,,IRAN:  ALBORZ,35.649,50.962,2,
2017,21,10,4,,,4,,,,4,IRAN,,"IRAN: ALBORZ, TEHRAN",35.716,51.256,1,
2018,8,10,5.3,,,5.3,,,,,IRAN,,IRAN:  KERMANSHAH,34.456,45.764,,
2020,20,10,4.6,,,4.6,,,,,IRAN,,"IRAN:  TEHRAN, DAMAVAND",35.725,52.044,2,
1471,,25,8,,,,,,8,9,PERU,,PERU,-16.3,-71,,
1513,,30,8.7,,,,,,8.7,8,PERU,,PERU,-17.2,-72.3,,
1552,10,30,7.6,,,,,,7.6,9,PERU,,PERU,-16.6,-71.3,,
1555,,30,8.4,,,,,,8.4,7,PERU,,PERU,-11.9,-77.6,,
1581,,15,6.4,,,,,,6.4,10,PERU,,PERU:  YANAOCA,-14.1,-71.5,,
1582,,30,7.8,,,,,,7.8,7,PERU,,PERU,-12.2,-77.6,,
1600,10,20,7.9,,,,,,7.9,11,PERU,,PERU:  VOLCAN HUAYNAPUTINA,-16.8,-70.9,1500,
1600,20,20,8.1,,,,,,8.1,10,PERU,,PERU:  OMATE,-16.6,-70.8,,
1609,1,40,8.6,,,,,,8.6,8,PERU,,PERU,-11.9,-77.4,,
1630,16,30,8.1,,,,,,8.1,7,PERU,,PERU:  LIMA,-12.2,-77.5,,
1650,19,,8.1,,,,,,8.1,10,PERU,,"PERU:  CUZCO,COLLAO,LIMA; BOLIVIA:  SICASICA",-13.5,-72,,
1664,9,15,7.3,,,,,,7.3,10,PERU,,"PERU:  ICA, PISCO",-14.1,-75.8,,
1699,9,40,7.8,,,,,,7.8,7,PERU,,PERU:  LIMA,-12.1,-76.6,,
1707,16,10,5.8,,,,,,5.8,10,PERU,,PERU:  CUZCO,-13,-72,,
1716,,40,8.8,,,,,,8.8,9,PERU,,PERU:  PUEBLO DE TORATA IN TACNA,-17.2,-71.2,,
1716,1,50,8.6,,,,,,8.6,10,PERU,,PERU,-13.7,-76,,
1846,1,50,7.9,,7.9,,,,,6,PERU,,PERU,-14,-76.8,,
1872,,,6.5,,6.5,,,,,,PERU,,PERU:  AREQUIPA,-16.4,-71.5,,
1897,16,70,7.7,,,,,,7.7,7,PERU,,PERU,-11.9,-76.8,,
1906,6,33,7.9,,7.9,,,,,,PERU,,PERU:  OFF SOUTH COAST,-18,-71,,
1907,20,90,7.6,,,,,,7.6,,PERU,,PERU,-13.2,-75.4,,
1914,4,130,7.2,,7.2,,,,,,PERU,,PERU:  AREQUIPA,-17,-72,,
1915,21,160,7.6,,,,,,7.6,,PERU,,PERU:  S,-18.5,-68.5,,
1921,15,650,7.6,,,,,,7.6,,PERU,,PERU,-2.5,-71,,
1922,3,650,7.6,,7.6,,,,,,PERU,,PERU,-2.5,-71,,
1928,20,,6.8,,6.8,,,,,5,PERU,,PERU:  ESQUILAYA,-13,-69.5,,
1928,22,,7.3,,,,,,7.3,10,PERU,,"PERU:  CHACAHPOYAS,HUANCABAMBA,CAJAMARCA,PINPINCOS",-5,-78,,
1928,19,70,7,,7,,,,,6,PERU,,PERU,-5.5,-79,,
1932,2,100,6.8,,,,,,6.8,9,PERU,,PERU,-12,-77.5,,
1937,6,10,6.2,,,,,,6.2,10,PERU,,"PERU:  HUANCABAMBA,OXAPAMPA,EL PROGRESO,SAN DAVID",-10.5,-76.5,,
1943,5,,5,,5,,,,,,PERU,,"PERU:  YANACOA, PAMPAMARCA",-14.2,-71.5,75,
1946,17,12,7.3,,,,,,7.3,11,PERU,,"PERU: JOCAIBAMBA,CERRO ANGASCHAJ,CERRO SILLAPATA",-8.5,-77.5,,
1947,14,100,7.3,,,,,,7.3,10,PERU,,"PERU:  SATIPO,ANDAMARCA,ACOBAMBA,LA MERCED,VICTOC",-10.5,-75,,
1948,8,60,7.1,,,,,,7.1,10,PERU,,"PERU:  AREQUIPA,MOQUEGUA,TACNA,TORATA,QUELLAVECO",-17.4,-71,,
1948,5,55,6.8,,,,,,6.8,7,PERU,,PERU:  CANETE,-13.1,-76.2,,
1950,13,250,7.9,,,,,,7.9,,PERU,,PERU,-15,-69.5,,
1950,18,,6,,,,,,6,,PERU,,PERU:  CUSCO,-13.5,-72,,
1951,13,250,7.9,,,,,,7.9,,PERU,,PERU,-15,-69.5,,
1952,11,,7.5,,,,,,7.5,,PERU,,PERU-BOLIVIA,-14.1,-69.9,,
1953,,,5.5,,5.5,,,,,,PERU,,PERU:  LIMA,-12,-77.5,,
1958,19,60,7.3,,,,,,7.3,9,PERU,,PERU: AREQUIPA,-16.5,-72,,
1958,17,620,7.5,,,,,,7.5,,PERU,,PERU:  S,-13.5,-69,,
1960,9,150,7,,,,,,7,,PERU,,"PERU:  LIMA,NAZCA,ICA,HUANCAVELIC,PALPA,HUAITARA",-15,-75,,
1961,1,629,7.5,,,,,,7.5,,PERU,,PERU,-10.5,-70.7,,
1962,19,39,6.3,,,,,,6.3,,PERU,,"PERU:  CASMA,HUARAZ,QUIRUVILCA,TRUJILLO",-10,-79,,
1963,17,543,7.7,,,,,,7.7,,PERU,,PERU:  S,-13.8,-69.3,,
1967,21,40,7,,7,,,,,,PERU,,PERU:  OFF COAST,-10.6,-79.8,,
1968,8,33,7,,,,,,7,,PERU,,"PERU:  SAN MARTIN,MOYOBAMBA,YANTALO,RIOJA,LAMAS",-5.6,-77.2,,
1969,2,1,5.9,,,,,,5.9,11,PERU,,"PERU:  LAMPA-JUNIN,HUAYTAPALLANA",-11.9,-75.1,,
1969,5,43,6.2,,,,,,6.2,11,PERU,,"PERU:  HUAYTAPALLANA, LAMPA, CHILIFRUTA",-11.7,-75.1,,
1972,7,64,6.1,,,6.1,,,6.9,9,PERU,,PERU:  JUANJUI,-6.8,-76.8,,
1996,12,10,7.5,7.5,6.6,5.8,,,,4,PERU,,"PERU:  NORTHERN:  CHIMBOTE, CALLAO",-9.593,-79.587,12,
2005,2,40,5.4,5.4,,5.4,,,,,PERU,,PERU:  N,-5.852,-78.704,,
2015,22,636,7.6,7.6,,,,,,4,PERU,,PERU-BRAZIL,-10.77,-71.41,,
2015,22,606,7.6,7.6,,,,,,4,PERU,,PERU-BRAZIL,-10.07,-70.98,,
2017,2,44,6.4,6.4,,,,,,,PERU,,PERU:  AREQUIPA,-16.416,-73.636,1,
2017,21,41,5.6,5.6,,,,,,,PERU,,PERU: AREQUIPA,-16.299,-73.474,1,
2019,8,257,7,7,,,,,,,PERU,,PERU:  AREQUIPA,-14.684,-70.127,1,
2020,5,57,4.5,,,4.5,,,,,PERU,,PERU:  COAST:  CHIMBOTE,-9.634,-78.591,1,
1788,,,5.6,,,,,,5.6,8,TOGO,,"TOGO:  AGUNAH, KANA; BENIN:  ABOMEY",7.6,1.7,,
1681,,,7.5,,7.5,,,,,10,CHILE,,CHILE,-18.5,-70.35,,
1831,2,,7.8,,,,,,7.8,7,CHILE,,"CHILE: PERU:  TACNA,ARICA,AREQUIPA",-18.5,-71,,
1836,,,7.5,,7.5,,,,,,CHILE,,CHILE:  COBIJA,-22.6,-70.3,,
1858,11,,6.5,,6.5,,,,,8,CHILE,,CHILE:  LA SERENA,-30,-71.4,,
1868,1,,8.5,,8.5,,,,,,CHILE,,CHILE:  ARICA,-18.6,-71,,
1869,16,,6.8,,6.8,,,,,,CHILE,,CHILE:  IQUIQUE,-21,-70,,
1909,5,,7.6,,7.6,,,,,,CHILE,,CHILE,-26.5,-70.5,,
1911,13,,7.3,,7.3,,,,,,CHILE,,CHILE:  NORTHERN,-20,-72,,
1914,3,33,7.6,,7.6,,,,,,CHILE,,CHILE:  OFF CENTRAL COAST,-35,-73,,
1918,17,80,7.9,,7.9,,,,,,CHILE,,CHILE:  NORTHERN,-28.5,-71.5,,
1925,11,50,7.1,,7.1,,,,,,CHILE,,CHILE:  NORTHERN,-26,-71.5,,
1926,22,33,6,,6,,,,,,CHILE,,CHILE:  VALLENAR,-28,-71,,
1927,23,33,7.1,,7.1,,,,,,CHILE,,CHILE:  SOUTHERN,-44.6,-73,,
1928,20,33,7.1,,7.1,,,,,,CHILE,,CHILE:  NORTHERN,-22.5,-70.5,,
1929,10,100,7.5,,,,,,7.5,,CHILE,,CHILE,-23,-69,,
1930,8,,6,,6,,,,,,CHILE,,CHILE:  NORTHERN,-28.5,-71,,
1931,8,33,7.1,,7.1,,,,,,CHILE,,CHILE:  CENTRAL,-32.5,-72,,
1933,8,40,7.6,,7.6,,,,,,CHILE,,CHILE,-20,-71,,
1933,4,70,5.5,,,,,,5.5,10,CHILE,,CHILE,-22,-70.5,,
1939,6,100,7.4,,7.4,,,,,,CHILE,,CHILE:  NORTH CENTRAL,-27,-70.5,,
1940,7,75,7.3,,7.3,,,,,,CHILE,,CHILE:  NORTHERN,-22,-71,,
1940,18,33,7,,7,,,,,,CHILE,,CHILE:  SOUTH CENTRAL,-41.5,-74.5,,
1948,7,100,7,,7,,,,,7,CHILE,,CHILE:  ANTOFAGASTA,-22.5,-69,,
1950,0,33,7,,7,,,,,6,CHILE,,CHILE:  SOUTHERN,-53.5,-71.5,,
1950,21,100,8,,8,,,,,7,CHILE,,CHILE-ARGENTINA,-23.5,-67.5,1,
1953,2,128,7.4,,,,,,7.4,,CHILE,,CHILE:  NORTHERN,-22.1,-68.7,,
1957,17,33,7,,7,,,,,3,CHILE,,CHILE:  ANTOFAGASTA,-23.5,-71.5,,
1958,21,,6.8,,6.8,,,,,,CHILE,,CHILE-ARGENTINA,-33.785,-70.112,,
1962,6,45,7.3,,,,,,7.3,,CHILE,,CHILE:  CENTRAL,-37.8,-72.5,,
1965,22,36,7,,7,,,,,,CHILE,,CHILE:  NORTHERN,-25.67,-70.63,,
1965,22,58,6,,6,,,,,6,CHILE,,CHILE:  CENTRAL,-31.81,-71.26,,
1965,16,61,7.3,,,,,,7.3,,CHILE,,CHILE:  CENTRAL,-32.4,-71.2,,
1965,16,28,6.5,,6.5,,,,,3,CHILE,,CHILE:  SOUTHERN,-42.9,-75.13,,
1967,21,35,5.9,,5.9,,,,,,CHILE,,CHILE:  NORTHERN,-28.78,-71.19,,
1970,,10,6,,6,,,,,,CHILE,,CHILE:  SOUTHERN,-52,-73.8,,
1970,10,44,6.4,,6.4,6.1,,,,,CHILE,,CHILE:  NORTHERN,-22.28,-70.55,,
1970,11,33,6,,6,5.8,,,,,CHILE,,CHILE:  NORTHERN,-20.94,-69.81,,
1972,18,39,6.6,,6.6,6.2,,,,7,CHILE,,CHILE:  CENTRAL,-30.5,-71.8,,
